ID,Consultant,URL,Search_Term,DateRetrieved,DatePublished,Job_Category,Job_title,Job_Field,Company,Minimum Experience in Years,City,Country,Payment Frequency,Currency,Salary,English Needed,Additional_languages,BSc_needed,MSc_needed,PhD_needed,AI,Natural_Language_Processing(NLP),Data_Pipelines,Machine_Learning,Deep Learning,Computer_vision,Data_visualization,Data_warehouse,BigData,Data_management,Data_mining,Data_science,Bayesian,Optimization,Numerical_Analysis,IOT,Data_translation,R,SAS,SPSS,Python,MAtlab,Scala,C#,Java,C++,C,Bash,Tensorflow,pyspark,YOLO,MS Word,Ms Excel,Ms Access,Ms PowerPoint,Spreadsheets,Google_Analytics,Microsoft Power BI,Tableau,D3,Qlik,KNIME,Spotfire,Linux/Unix,OLE/DB,SQL,NoSQL,RDBMS,Oracle,MySQL,MongoDB,MPP_Platforms,SPL,Alteryx,Spark,Kafka,Hadoop,Pig,Hive,Map/Reduce,Impala,Storm,Google_Cloud,AWS,cloud_storage,S3,Redshift,DigitalOcean,Teradata,Solr,Elasticsearch,Presentation_Skills,Communication,Problem_Solving,Team_Handling,agile execution,Data_marketing,SEO,graphics_and_design_skills,Content_Management,Economic,Finance_Knowledge,Investment_Knowledge,Debtor_reconcilation,Payroll_management,web_design_and_development_tools,PHP,Javascript,Web_Analytic_tools,Knowledge_in,English proficiency description,Location,country_code,Educational_qualifications
11,Kavya,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3409542113,Data Engineer,06-01-23,23-12-22,Data Science,Machine Learning Engineer,NA,Synopsys,2,NA,Sri Lanka,NA,NA,NA,0,NA,"Computer Science, Electronics",1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,LKA,"Computer Science, Electronics,1,0"
12,Kavya,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3419684030,Data Engineer,06-01-23,06-01-23,Data Science,Data Scientist,NA,JKH,3,Colombo,Sri Lanka,NA,NA,NA,0,NA,0,"CS, Math, Statistics, OR",0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,LKA,"0,CS, Math, Statistics, OR,0"
13,Kavya,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3411056563&start=24,Data Scientist,06-01-23,23-12-22,Data Science,AWS Lead Data Engineer,NA,Nagarro,2,NA,Sri Lanka,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,LKA,"0,0,0"
14,Kavya,https://www.linkedin.com/jobs/search/?currentJobId=3419692785&keywords=data&refresh=true,Data Scientist,06-01-23,04-01-23,Data Science,Lead Data Engineer,NA,Dialog,5,Colombo,Sri Lanka,NA,NA,NA,0,NA,"IT, Mathematics, Statistics",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,LKA,"IT, Mathematics, Statistics,0,0"
15,Kavya,https://www.linkedin.com/jobs/search/?currentJobId=3400389047&geoId=100446352&keywords=AI&location=Sri%20Lanka&refresh=true,AI Engineer,06-01-23,23-12-22,Data Science,Machine Learning Researcher,NA,APAC,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"0,0,0"
16,Kavya,https://www.google.com/search?q=data+science+jobs+in+dubai&oq=data+science+jobs+in+dubai&aqs=chrome..69i57j0i512j0i22i30l8.4948j0j7&sourceid=chrome&ie=UTF-8&ibp=htl;jobs&sa=X&ved=2ahUKEwjQx5TcjsT8AhUccWwGHUyvDQUQkd0GegQIDBAB#fpstate=tldetail&htivrt=jobs&htiq=data+science+jobs+in+dubai&htidocid=xiFca_vUgtoAAAAAAAAAAA%3D%3D&sxsrf=AJOqlzXabc4eKdWyMhTTQvvPWcD0M9bvbA:1673598087806,Data science jobs in Dubai,13-01-23,23-12-22,Data Science,Data Scientist,NA,Eurasian Resource Group,NA,Dubai,United Arab Emirates,NA,NA,NA,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,ARE,"0,0,0"
17,Kavya,"https://www.glassdoor.com/Job/dubai-data-scientist-jobs-SRCH_IL.0,5_IC2204498_KO6,20.htm",Data science jobs in Dubai,13-01-23,06-01-23,Data Science,Product Data Scientist,Cryptocurrency,Binance,4,Dubai,United Arab Emirates,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,ARE,"0,0,0"
18,Kavya,"https://www.glassdoor.com/Job/auckland-auckland-data-scientist-jobs-SRCH_IL.0,17_IC3525162_KO18,32.htm?src=GD_JOB_AD&srs=ALL_RESULTS&jl=1008398409473&ao=1136043&s=345&guid=00000185aa5e3ac8b4a06c4076b11424&pos=101&t=SR-JOBS-HR&vt=w&uido=9732854E2874D4514C7241E97E704B73&cs=1_84da1eac&cb=1673600580469&jobListingId=1008398409473&jrtk=3-0-1gml5senri3bf801-1gml5seolgaiu800-32428e1dd108c4fd-",Data science jobs in new zealand,13-01-23,11-01-23,Data Science,Data Scientist,Research,New Zealand Governement,NA,Auckland,New Zealand,NA,NZ $,70000,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NZL,"0,1,1"
19,Kavya,"https://www.glassdoor.com/Job/auckland-data-scientist-jobs-SRCH_IL.0,8_IC3525162_KO9,23.htm?fromAge=7",Data science jobs in new zealand,13-01-23,12-01-23,Business Analytics,Business Analyst,Research,New Zealand Governement,NA,Auckland,New Zealand,monthly,NZ $,79000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NZL,"0,0,0"
20,Kavya,"https://www.glassdoor.com/Job/remote-machine-learning-engineer-jobs-SRCH_IL.0,6_IS11047_KO7,32.htm?src=GD_JOB_AD&srs=ALL_RESULTS&jl=1008400099197&ao=1136043&s=345&guid=00000185aa782e579d4a1393627a4f8d&pos=101&t=SR-JOBS-HR&vt=w&uido=9732854E2874D4514C7241E97E704B73&ea=1&cs=1_21393334&cb=1673602281388&jobListingId=1008400099197&jrtk=3-0-1gml7gbk8j45v801-1gml7gbktgajt800-78c6a249ff222d5d-",machine learning engineer,13-01-23,13-01-23,AI,AI Engineer,Automobile,Devcare Solutions,NA,NA,United States,hourly,US $,50,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,USA,"0,0,0"
21,Kavya,"https://www.glassdoor.com/Job/remote-machine-learning-engineer-jobs-SRCH_IL.0,6_IS11047_KO7,32.htm?src=GD_JOB_AD&srs=ALL_RESULTS&jl=1008400099197&ao=1136043&s=345&guid=00000185aa782e579d4a1393627a4f8d&pos=101&t=SR-JOBS-HR&vt=w&uido=9732854E2874D4514C7241E97E704B73&ea=1&cs=1_21393334&cb=1673602281388&jobListingId=1008400099197&jrtk=3-0-1gml7gbk8j45v801-1gml7gbktgajt800-78c6a249ff222d5d-",machine learning engineer,13-01-23,13-01-23,AI,Machine Learning Engineer,NA,Whiztekcorp,10,NA,United States,annual,US $,86000,0,0,Computer Science,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,USA,"Computer Science,0,0"
22,Kavya,"https://www.glassdoor.com/Job/remote-machine-learning-engineer-jobs-SRCH_IL.0,6_IS11047_KO7,32.htm?src=GD_JOB_AD&srs=ALL_RESULTS&jl=1008400099197&ao=1136043&s=345&guid=00000185aa782e579d4a1393627a4f8d&pos=101&t=SR-JOBS-HR&vt=w&uido=9732854E2874D4514C7241E97E704B73&ea=1&cs=1_21393334&cb=1673602281388&jobListingId=1008400099197&jrtk=3-0-1gml7gbk8j45v801-1gml7gbktgajt800-78c6a249ff222d5d-",machine learning engineer,13-01-23,10-01-23,Machine Learning,Head of Machine Learning Engineer,Machine Learning,Datatron Technologies,5,NA,United States,annual,US $,14500,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,USA,"0,0,0"
23,Kavya,"https://www.glassdoor.com/Job/remote-machine-learning-engineer-jobs-SRCH_IL.0,6_IS11047_KO7,32.htm?src=GD_JOB_AD&srs=ALL_RESULTS&jl=1008400099197&ao=1136043&s=345&guid=00000185aa782e579d4a1393627a4f8d&pos=101&t=SR-JOBS-HR&vt=w&uido=9732854E2874D4514C7241E97E704B73&ea=1&cs=1_21393334&cb=1673602281388&jobListingId=1008400099197&jrtk=3-0-1gml7gbk8j45v801-1gml7gbktgajt800-78c6a249ff222d5d-",machine learning engineer,13-01-23,11-01-23,Machine Learning,Software Engineer-ML Infrastructure,Social Media,Pinterst,2,NA,United States,annual,US $,131000,0,0,Computer Science,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,USA,"Computer Science,0,0"
24,Kavya,"https://www.glassdoor.com/Job/remote-machine-learning-engineer-jobs-SRCH_IL.0,6_IS11047_KO7,32.htm?src=GD_JOB_AD&srs=ALL_RESULTS&jl=1008400099197&ao=1136043&s=345&guid=00000185aa782e579d4a1393627a4f8d&pos=101&t=SR-JOBS-HR&vt=w&uido=9732854E2874D4514C7241E97E704B73&ea=1&cs=1_21393334&cb=1673602281388&jobListingId=1008400099197&jrtk=3-0-1gml7gbk8j45v801-1gml7gbktgajt800-78c6a249ff222d5d-",machine learning engineer,13-01-23,12-01-23,Machine Learning,Machine Learning Engineer,NA,Zing Data Inc,3,NA,United States,NA,NA,NA,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,USA,"0,0,0"
25,Kavya,"https://www.glassdoor.com/Job/remote-machine-learning-engineer-jobs-SRCH_IL.0,6_IS11047_KO7,32.htm?src=GD_JOB_AD&srs=ALL_RESULTS&jl=1008400099197&ao=1136043&s=345&guid=00000185aa782e579d4a1393627a4f8d&pos=101&t=SR-JOBS-HR&vt=w&uido=9732854E2874D4514C7241E97E704B73&ea=1&cs=1_21393334&cb=1673602281388&jobListingId=1008400099197&jrtk=3-0-1gml7gbk8j45v801-1gml7gbktgajt800-78c6a249ff222d5d-",machine learning engineer,13-01-23,10-01-23,Machine Learning,Machine Learning Engineer,NA,"Wurl,LLC",4,Palo Alto,United States,annual,US $,108000,0,0,"Compter Science, Data Science",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,USA,"Compter Science, Data Science,1,0"
26,Kavya,https://www.google.com/search?q=data+science+jobs+in+uk&oq=data+science+jobs+in+UK&aqs=chrome.0.0i512l5j0i22i30l5.6468j0j4&sourceid=chrome&ie=UTF-8&ibp=htl;jobs&sa=X&ved=2ahUKEwjUtLiatMT8AhU5XWwGHccXCKwQkd0GegQIDhAB#fpstate=tldetail&htivrt=jobs&htiq=data+science+jobs+in+uk&htidocid=5Z8fNzR8VmgAAAAAAAAAAA%3D%3D&sxsrf=AJOqlzWQbOE46gjHPYJaaMiFiOHmNcLOGg:1673608150527,data science jobs in uk,13-01-23,10-01-23,Data Science,Data Scientist,Banking,Bank of England,NA,London,United Kingdom,annual,Sterling Pounds,41270,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,GBR,"0,0,0"
27,Kavya,https://www.google.com/search?q=data+science+jobs+tunisia&sxsrf=AJOqlzV--yB8znMTy6ASePa2C0InmiQznw:1673608545342&ei=YT3BY7y-FMehseMP7oeqyAU&oq=data+science+jobs+in+tuni&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAxgAMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgUIABCGAzIFCAAQhgMyBQgAEIYDMgUIABCGAzIFCAAQhgM6CggAEEcQ1gQQsAM6BwgAELADEEM6BAgjECc6BAgAEEM6CggAEIAEEIcCEBQ6BQgAEIAESgQIQRgASgQIRhgAUJAEWN0QYL4eaAFwAXgAgAHIAYgB1QiSAQUwLjUuMZgBAKABAcgBCsABAQ&sclient=gws-wiz-serp&ibp=htl;jobs&sa=X&ved=2ahUKEwjslabZtcT8AhVMTGwGHVQXDZwQkd0GegQIChAB#fpstate=tldetail&htivrt=jobs&htiq=data+science+jobs+tunisia&htidocid=J74xCPCBwg0AAAAAAAAAAA%3D%3D,data science jobs tunisia,13-01-23,12-01-23,Data Science,Data Engineer,NA,Infor Inc.,NA,Tunis,Tunisia,NA,NA,NA,0,0,"Computer Science, IT, Electrical, Telecommunication",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,0,1,0,NA,NA,NA,TUN,"Computer Science, IT, Electrical, Telecommunication,0,0"
